Pulp Fiction;1994;THRILLER, COMEDY, CRIME
Her;2013;ROMANCE, DRAMA, SCI_FI
Captain Fantastic;2016;DRAMA, ROMANCE, COMEDY
The Matrix;1999;SCI_FI, ACTION
Interstellar;2014;SCI_FI, DRAMA, ADVENTURE
Birdman or (The Unexpected Virtue of Ignorance);2014;DRAMA, COMEDY
La vita è bella;1997;DRAMA, ROMANCE, COMEDY, WAR
Sin City;2005;ACTION, THRILLER, CRIME, DETECTIVE
Mulholland Dr.;2001;THRILLER, DRAMA, DETECTIVE
Titanic;1997;DRAMA, ROMANCE
Partly Cloudy;2009;ANIMATION, FANTASY, COMEDY, FAMILY
Saw;2004;HORROR, DETECTIVE
